audio,text,order,name,command
944,اغلق الدردشة,اغلق الدردشة,,closeChat
945,اتصال,اتصال,,call
945,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
947,اقرا الرسائل,اقرا الرسائل,,readMessages
948,رسالة نصية الى بهاء,رسالة نصية,بهاء,textMessage
949,ارسل رسالة صوتية الى هادي صلاح,رسالة صوتية,هادي صلاح,voiceMessage
950,قم بحظر وائل,حظر,وائل,block
951,قم بفك الحظر عن وائل علي,فك الحظر,وائل علي,unblock
952,افتح شات عبدالله طارق,افتح شات,عبدالله طارق,openChat
953,اغلق الشات,اغلق الشات,,closeChat
954,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
955,اقرا رسائل ياسر وليد,اقرا رسائل,ياسر وليد,readMessages
956,ارسل رسالة نصية,رسالة نصية,,textMessage
957,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
958,حظر,حظر,,block
959,فك الحظر عن محمد,فك الحظر,محمد,unblock
960,مكالمة,مكالمة,,call
961,اغلق الاتصال,اغلق الاتصال,,endCall
962,افتح الدردشة مع وليد,افتح الدردشة,وليد,openChat
963,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
964,اقرا الرسائل,اقرا الرسائل,,readMessages
965,ارسل رسالة نصية الى طارق,رسالة نصية,طارق,textMessage
966,ارسل رسالة صوتية الى محمد سامر,رسالة صوتية,محمد سامر,voiceMessage
967,حظر اسعد عبدالله,حظر,اسعد عبدالله,block
968,فك الحظر,فك الحظر,,unblock
969,ابدا مكالمة مع سعيد وائل,مكالمة,سعيد وائل,call
970,انهي المكالمة,انهي المكالمة,,endCall
971,ابدا مكالمة مع سلمان هاني,مكالمة,سلمان هاني,call
972,افتح الشات مع ياسر سعيد,افتح الشات,ياسر سعيد,openChat
973,ابدا مكالمة مع سلمان هاني,مكالمة,سلمان هاني,call
974,اغلق المحادثة,اغلق المحادثة,,closeChat
975,ابدا مكالمة مع سلمان هاني,مكالمة,سلمان هاني,call
976,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
977,اقرا رسائل سلمان سامي,اقرا رسائل,سلمان سامي,readMessages
978,انهي الاتصال,انهي الاتصال,,endCall
979,رسالة نصية الى سليمان سعيد,رسالة نصية,سليمان سعيد,textMessage
980,ابدأ الدردشة مع ايهاب هاني,ابدأ الدردشة,ايهاب هاني,openChat
981,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
982,انهي الدردشة,انهي الدردشة,,closeChat
983,قم بحظر بهاء ايهاب,حظر,بهاء ايهاب,block
984,قم بفك الحظر عن محمود,فك الحظر,محمود,unblock
985,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
986,اقرا الرسائل,اقرا الرسائل,,readMessages
987,ارسل رسالة نصية,رسالة نصية,,textMessage
988,ارسل رسالة صوتية الى سامي,رسالة صوتية,سامي,voiceMessage
989,حظر,حظر,,block
990,فك الحظر عن سليمان,فك الحظر,سليمان,unblock
991,فك الحظر عن سليمان,فك الحظر,سليمان,unblock
992,فك الحظر عن سليمان,فك الحظر,سليمان,unblock
994,اغلق المكالمة,اغلق المكالمة,,endCall
992,اتصل بسيد,اتصل,سيد,call
995,افتح المحادثة مع اسعد,افتح المحادثة,اسعد,openChat
996,انهي الشات,انهي الشات,,closeChat
997,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
998,اقرا رسائل هاني سيد,اقرا رسائل,هاني سيد,readMessages
999,ارسل رسالة نصية الى سامح,رسالة نصية,سامح,textMessage
1000,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
1001,حظر علي,حظر,علي,block
1002,فك الحظر,فك الحظر,,unblock
1003,اتصل على هاني,اتصل,هاني,call
1004,اتصل على هاني,اتصل,هاني,call
1005,اتصل,اتصل,,call
1006,اغلق الاتصال,اغلق الاتصال,,endCall
1007,اغلق الاتصال,اغلق الاتصال,,endCall
1008,افتح محادثة وائل,افتح محادثة,وائل,openChat
1009,انهي المحادثة,انهي المحادثة,,closeChat
1010,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
1011,اقرا الرسائل,اقرا الرسائل,,readMessages
1012,رسالة نصية الى سامر صلاح,رسالة نصية,سامر صلاح,textMessage
1013,ارسل رسالة صوتية الى سامي علي,رسالة صوتية,سامي علي,voiceMessage
1014,قم بحظر عبدالعزيز عبدالله,حظر,عبدالعزيز عبدالله,block
1015,قم بفك الحظر عن عبدالعزيز وائل,فك الحظر,عبدالعزيز وائل,unblock
1016,قم بفك الحظر عن عبدالعزيز وائل,فك الحظر,عبدالعزيز وائل,unblock
1017,اتصال,اتصال,,call
1018,مكالمة,مكالمة,,call
1019,انهي المكالمة,انهي المكالمة,,endCall
1020,افتح شات عبدالعزيز,افتح شات,عبدالعزيز,openChat
1021,اغلق الدردشة,اغلق الدردشة,,closeChat
1022,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
1023,اقرا رسائل سامي,اقرا رسائل,سامي,readMessages
1024,انهي الاتصال,انهي الاتصال,,endCall
1025,ارسل رسالة نصية,رسالة نصية,,textMessage
1026,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
1027,حظر,حظر,,block
1028,فك الحظر عن طارق,فك الحظر,طارق,unblock
1029,ابدا مكالمة مع سيد علي,مكالمة,سيد علي,call
1030,اغلق المكالمة,اغلق المكالمة,,endCall
1031,افتح الدردشة مع وائل,افتح الدردشة,وائل,openChat
1032,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
1033,اقرا الرسائل,اقرا الرسائل,,readMessages
1034,ارسل رسالة نصية الى طارق,رسالة نصية,طارق,textMessage
1035,ارسل رسالة صوتية الى سامي عبدالرحمن,رسالة صوتية,سامي عبدالرحمن,voiceMessage
1036,حظر طارق,حظر,طارق,block
1037,فك الحظر,فك الحظر,,unblock
1038,مكالمة,مكالمة,,call
1039,اتصل بسامر,اتصل,سامر,call
1040,اغلق الاتصال,اغلق الاتصال,,endCall
1041,اتصل على سليمان,اتصل,سليمان,call
1042,انهي المكالمة,انهي المكالمة,,endCall
1043,اغلق الشات,اغلق الشات,,closeChat
1044,قم بحظر علي علي,حظر,علي علي,block
1045,رسالة نصية الى ايهاب احمد,رسالة نصية,ايهاب احمد,textMessage
1046,اتصل,اتصل,,call
1047,اتصال,اتصال,,call
1048,مكالمة,مكالمة,,call
1049,اتصل بطارق سامر,اتصل,طارق سامر,call
